county,fips,18uninsured,19uninsured,20uninsured,18watervio,19watervio,20watervio,18airpol,19airpol,20airpol,18somecol,19somecol,20somecol
Mississippi,28000,15,14,14,NAN,NAN,NAN,9.5,9.9,9.9,59.1,59,60
Adams,28001,16,14,15,No,No,No,8.7,9,9,48.5,44,42
Alcorn,28003,15,14,14,No,No,No,9.4,10,10,59.2,58,59
Amite,28005,19,17,18,No,No,No,8.7,9,9,47.3,43,41
Attala,28007,16,14,14,No,No,No,9.3,9.9,9.9,55.1,54,49
Benton,28009,16,15,16,Yes,No,Yes,9.2,9.7,9.7,44.6,36,40
Bolivar,28011,15,14,16,Yes,No,No,10.3,10.3,10.3,57.9,58,59
Calhoun,28013,19,19,19,No,No,No,9.4,9.9,9.9,44.8,44,46
Carroll,28015,18,16,16,No,No,No,9.2,9.6,9.6,52.6,59,58
Chickasaw,28017,18,17,17,No,No,No,9.7,10.1,10.1,43.2,45,43
Choctaw,28019,14,14,14,No,No,No,9.4,9.8,9.8,54.7,59,54
Claiborne,28021,15,14,14,No,No,Yes,8.6,9.2,9.2,55,54,55
Clarke,28023,15,15,15,Yes,No,No,9.5,9.9,9.9,52.4,53,53
Clay,28025,16,16,15,No,No,No,9.9,10.4,10.4,55.8,56,59
Coahoma,28027,15,13,14,Yes,Yes,Yes,10.4,10.2,10.2,56.6,57,62
Copiah,28029,15,14,16,No,No,No,9.2,9.7,9.7,50.2,51,50
Covington,28031,17,17,16,No,No,No,9.6,9.9,9.9,53.8,60,61
DeSoto,28033,11,10,10,No,No,No,10.1,10.3,10.3,67.4,67,67
Forrest,28035,16,15,15,No,No,No,9.7,10.2,10.2,65.9,67,70
Franklin,28037,15,14,14,No,No,No,8.6,8.9,8.9,53.5,48,53
George,28039,15,14,15,No,No,No,9.3,9.7,9.7,45.8,44,42
Greene,28041,15,15,15,No,No,No,9,9.4,9.4,43.2,40,42
Grenada,28043,14,15,15,No,No,Yes,9.3,9.5,9.5,54.5,51,55
Hancock,28045,17,15,16,Yes,Yes,Yes,8.8,9.4,9.4,56.9,61,61
Harrison,28047,17,15,16,No,No,No,9.3,9.8,9.8,61.4,61,61
Hinds,28049,13,14,14,Yes,Yes,Yes,10,10.7,10.7,65.8,66,68
Holmes,28051,15,16,14,No,No,No,9.6,9.9,9.9,37.7,38,39
Humphreys,28053,17,15,15,No,No,No,9.7,9.9,9.9,44.3,42,46
Issaquena,28055,18,18,18,Yes,No,No,9.4,9.5,9.5,30,26,29
Itawamba,28057,15,15,15,Yes,No,No,9.6,10.2,10.2,51.9,54,53
Jackson,28059,15,13,14,No,No,No,9.1,10.1,10.1,62.2,62,62
Jasper,28061,16,16,15,No,No,No,9.7,10,10,54.1,57,51
Jefferson,28063,16,17,15,No,No,No,8.4,8.9,8.9,48.9,39,33
Jefferson Davis,28065,18,18,17,No,No,No,9.3,9.7,9.7,44.6,48,56
Jones,28067,16,16,17,No,No,No,9.8,10.1,10.1,55.5,55,58
Kemper,28069,20,19,20,No,No,No,9.5,10,10,41,43,46
Lafayette,28071,14,14,14,Yes,No,No,9.5,9.9,9.9,75,76,77
Lamar,28073,13,13,13,No,No,No,9.6,9.7,9.7,72.5,72,72
Lauderdale,28075,14,13,13,No,No,No,9.8,10.4,10.4,61.8,64,64
Lawrence,28077,14,15,15,No,No,No,9.1,9.6,9.6,54.4,56,59
Leake,28079,21,19,19,No,No,No,9.5,10.1,10.1,50.2,47,49
Lee,28081,14,13,14,Yes,No,No,9.8,10.5,10.5,64.5,64,67
Leflore,28083,16,14,15,No,No,No,9.9,10.2,10.2,51,51,49
Lincoln,28085,16,14,15,No,No,No,9,9.5,9.5,58.1,58,57
Lowndes,28087,15,14,14,No,No,No,10,10.6,10.6,61.8,62,64
Madison,28089,11,10,11,No,Yes,No,10.2,10.7,10.7,78.6,78,77
Marion,28091,17,16,16,No,No,No,9.1,9.4,9.4,48.8,50,47
Marshall,28093,16,14,14,Yes,No,No,9.5,10,10,41.8,37,41
Monroe,28095,16,13,15,No,No,No,9.9,10.5,10.5,54.9,54,54
Montgomery,28097,16,16,15,No,No,No,9.2,9.6,9.6,44.1,52,51
Neshoba,28099,18,17,18,No,No,No,9.7,10.4,10.4,51.5,52,51
Newton,28101,16,16,17,No,No,No,9.8,10.3,10.3,63.6,66,69
Noxubee,28103,19,19,18,No,No,No,9.5,10.1,10.1,45.2,46,45
Oktibbeha,28105,16,14,16,Yes,No,No,9.7,10.3,10.3,73.7,76,78
Panola,28107,16,15,14,No,No,No,9.8,10,10,48.2,46,49
Pearl River,28109,16,14,15,No,No,No,9.1,9.3,9.3,56.5,56,56
Perry,28111,17,17,17,Yes,No,No,9.2,9.6,9.6,51.9,55,50
Pike,28113,15,15,15,No,No,No,8.9,9.2,9.2,52.8,51,51
Pontotoc,28115,16,16,18,No,No,No,9.7,10.2,10.2,51.8,56,58
Prentiss,28117,16,16,16,No,No,No,9.5,10.1,10.1,53.7,53,53
Quitman,28119,17,16,16,No,No,No,10,10,10,37.2,40,50
Rankin,28121,11,10,11,Yes,No,No,10.1,10.6,10.6,69.8,68,68
Scott,28123,21,19,20,Yes,Yes,No,9.7,10.2,10.2,40.9,40,44
Sharkey,28125,17,16,16,Yes,Yes,Yes,9.6,9.7,9.7,58.9,57,60
Simpson,28127,17,15,15,No,No,No,9.5,9.9,9.9,49.7,52,54
Smith,28129,15,15,16,No,Yes,No,9.8,10.1,10.1,50.6,52,50
Stone,28131,14,14,13,No,No,No,9.1,9.5,9.5,46.9,48,47
Sunflower,28133,16,15,15,No,No,Yes,10.3,10.3,10.3,44.3,45,45
Tallahatchie,28135,16,16,15,No,No,No,9.9,10,10,30,33,34
Tate,28137,16,14,16,No,No,No,9.9,10,10,58.1,54,52
Tippah,28139,17,16,15,No,No,No,9.3,9.9,9.9,55.4,55,52
Tishomingo,28141,17,15,17,No,No,No,9.3,10,10,47.4,45,48
Tunica,28143,13,12,13,No,No,No,10,9.9,9.9,57.3,59,58
Union,28145,17,17,18,No,No,No,9.6,10.1,10.1,50.1,50,53
Walthall,28147,19,18,18,No,No,No,8.8,9.1,9.1,40.9,41,40
Warren,28149,13,12,14,No,Yes,No,9.5,9.8,9.8,58.5,58,61
Washington,28151,17,14,16,Yes,No,Yes,10.2,10.1,10.1,51.4,53,53
Wayne,28153,17,15,16,Yes,No,Yes,9.4,9.7,9.7,42.8,43,48
Webster,28155,15,14,14,No,No,No,9.3,9.8,9.8,56.2,56,57
Wilkinson,28157,15,15,16,No,No,No,8.6,8.7,8.7,31.2,33,30
Winston,28159,17,16,17,No,No,No,9.5,10.1,10.1,52.5,54,59
Yalobusha,28161,14,14,14,No,No,No,9.4,9.7,9.7,52.1,53,53
Yazoo,28163,15,15,15,Yes,No,No,9.6,9.9,9.9,40.7,41,38